officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
C.B.I.T S.O,500075,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,08413-233780,NA,Hyderabad G.P.O. ,NA,NA
Central Secretariat S.O,500022,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428315,NA,Hyderabad G.P.O. ,NA,NA
CUC S.O,500046,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Serilingampally,Hyderabad,TELANGANA,040-23463956,NA,Hyderabad G.P.O. ,NA,NA
Cyberabad S.O,500081,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,040-23428317,NA,Khairatabad H.O,NA,NA
Dargah Hussain Shahwali B.O,500008,B.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,NA,Golconda S.O,Hyderabad G.P.O. ,NA,NA
Dr.B R Ambedkar O.U  S.O,500033,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,NA,NA,Khairatabad H.O,NA,NA
Erragadda S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Ameerpet,Hyderabad,TELANGANA,040-23428368,NA,Khairatabad H.O,NA,NA
Fathenagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23463694,NA,Khairatabad H.O,NA,NA
Film Nagar S.O,500096,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,040-23428364,NA,Khairatabad H.O,NA,NA
Gachibowli S.O,500032,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Seri Lingampally,K.V.Rangareddy,TELANGANA,040-23463959,NA,Hyderabad G.P.O. ,NA,NA
Gagan Mahal S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428318,NA,Hyderabad G.P.O. ,NA,NA
Gandhi Bhawan S.O (Hyderabad),500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463511,NA,Hyderabad G.P.O. ,NA,NA
Gandipet B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Golconda S.O,500008,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda ,Hyderabad,TELANGANA,040-23463320,NA,Hyderabad G.P.O. ,NA,NA
Himayathnagar B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Moinabad,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Himayathnagar S.O,500029,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428512,NA,Hyderabad G.P.O. ,NA,NA
Humayunnagar S.O,500028,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428319,NA,Khairatabad H.O,NA,NA
Hyder Shah Kote B.O,500008,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,NA,Golconda S.O,Hyderabad G.P.O. ,NA,NA
Hydershahkote S.O,500091,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,NA,NA,Hyderabad G.P.O. ,NA,NA
I.M.Colony S.O,500082,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428310,NA,Khairatabad H.O,NA,NA
Ibrahim Bagh Lines S.O,500031,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428309,NA,Hyderabad G.P.O. ,NA,NA
Janwada B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shankarpally,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Jubilee Hills S.O,500033,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,040-23428300,NA,Khairatabad H.O,NA,NA
Kakatiya Nagar S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428321,NA,Khairatabad H.O,NA,NA
Karwan Sahu S.O,500006,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23463804,NA,Hyderabad G.P.O. ,NA,NA
Khairatabad H.O,500004,H.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428322,NA,NA,NA,NA
Kokapet B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Kondapur B.O,500084,B.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Serilingampally,K.V.Rangareddy,TELANGANA,NA,Kothaguda S.O (K.V.Rangareddy),Hyderabad G.P.O. ,NA,NA
Kothaguda S.O (K.V.Rangareddy),500084,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Serilingampally,Hyderabad,TELANGANA,040-23428339,NA,Hyderabad G.P.O. ,NA,NA
Kulsumpura S.O,500006,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-24826385,NA,Hyderabad G.P.O. ,NA,NA
LIC Division S.O,500063,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428327,NA,Hyderabad G.P.O. ,NA,NA
Lingampalli S.O,500019,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Serilingampally,K.V.Rangareddy,TELANGANA,040-23463957,NA,Hyderabad G.P.O. ,NA,NA
Lunger House S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428340,NA,Hyderabad G.P.O. ,NA,NA
Madhapur B.O,500081,B.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,NA,Cyberabad S.O,Khairatabad H.O,NA,NA
Mancherevula B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Mangalhat S.O,500006,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,NA,NA,Hyderabad G.P.O. ,NA,NA
Manikonda S.O,500089,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,NA,Hyderabad,TELANGANA,08413-233222,NA,Khairatabad H.O,NA,NA
Manuu S.O,500032,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Seri Lingampally,Hyderabad,TELANGANA,NA,NA,Hyderabad G.P.O. ,NA,NA
Moazzampura S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428371,NA,Hyderabad G.P.O. ,NA,NA
Moosapet B.O,500018,B.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,NA,Sanathnagar I E S.O,Khairatabad H.O,NA,NA
Murad Nagar S.O (Hyderabad),500028,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428341,NA,Khairatabad H.O,NA,NA
Nanakramguda B.O,500008,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,NA,Golconda S.O,Hyderabad G.P.O. ,NA,NA
Narayanguda S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428342,NA,Hyderabad G.P.O. ,NA,NA
Narsingi B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
New Mla Quarters S.O,500063,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428372,NA,Hyderabad G.P.O. ,NA,NA
Parishram Bhawan S.O,500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428328,NA,Hyderabad G.P.O. ,NA,NA
Putlibowli S.O,500095,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463530,NA,Hyderabad G.P.O. ,NA,NA
Raj Bhawan S.O (Hyderabad),500041,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428330,NA,Khairatabad H.O,NA,NA
Ramakrishna Mutt S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463532,NA,Hyderabad G.P.O. ,NA,NA
Sakkubai Nagar S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23463526,NA,Hyderabad G.P.O. ,NA,NA
Sanath Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Ameerpet,Hyderabad,TELANGANA,040-23428379,NA,Khairatabad H.O,NA,NA
Sanathnagar I E S.O,500018,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,Hyderabad,TELANGANA,040-23428331,NA,Khairatabad H.O,NA,NA
Sanjeev Reddy Nagar S.O,500038,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Ameerpet,Hyderabad,TELANGANA,040-23428332,NA,Khairatabad H.O,NA,NA
Seetharampet S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463695,NA,Hyderabad G.P.O. ,NA,NA
Shantinagar S.O (Hyderabad),500028,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428334,NA,Khairatabad H.O,NA,NA
Somajiguda S.O,500082,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428333,NA,Khairatabad H.O,NA,NA
Srinagar Colony S.O,500073,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428335,NA,Khairatabad H.O,NA,NA
State Bank Of Hyderabad S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428365,NA,Hyderabad G.P.O. ,NA,NA
State Bank Of India S.O,500095,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463966,NA,Hyderabad G.P.O. ,NA,NA
Swarajyanagar S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23428361,NA,Khairatabad H.O,NA,NA
Toli Chowki S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428369,NA,Hyderabad G.P.O. ,NA,NA
Vengal Rao Nagar S.O,500038,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428363,NA,Khairatabad H.O,NA,NA
Vidhan Sabha S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428336,NA,Hyderabad G.P.O. ,NA,NA
Vijay Nagar Colony S.O (Hyderabad),500057,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428352,NA,Khairatabad H.O,NA,NA
Vivekananda Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,Hyderabad,TELANGANA,NA,NA,Khairatabad H.O,NA,NA
Wattinagulapalli B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Yousufguda S.O,500045,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428338,NA,Khairatabad H.O,NA,NA
Hyderabad G.P.O. ,500001,H.O,Delivery,Hyderabad GPO,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463515,NA,NA,NA,NA
A.G.College S.O,500030,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,040-24012031,NA,Hyderabad Jubilee H.O,NA,NA
Adibatla B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Agapalli B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Akulamailaram B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Ambernagar B.O,500044,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,NA,Andhra Mahila Sabha S.O,Stn Kachiguda H.O,NA,NA
Amberpet S.O,500013,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,040-23463823,NA,Stn Kachiguda H.O,NA,NA
Anajpur B.O,501512,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ramoji Film City S.O,Stn Kachiguda H.O,NA,NA
Andhra Mahila Sabha S.O,500044,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,040-23463817,NA,Stn Kachiguda H.O,NA,NA
Aperl B.O,500030,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Rajendranagar S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Arutla B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Attapur B.O,500048,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Hyderguda S.O,Hyderabad Jubilee H.O,NA,NA
Badangpet B.O,500058,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,NA,Kanchanbagh S.O,Hyderabad Jubilee H.O,NA,NA
Bahadurpura S.O,500064,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463824,NA,Hyderabad Jubilee H.O,NA,NA
Balapur B.O,500005,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,NA,Keshogiri S.O,Hyderabad Jubilee H.O,NA,NA
Bandaraviryal B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Barkatpura S.O,500027,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463825,NA,Stn Kachiguda H.O,NA,NA
Batasingaram B.O,501512,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ramoji Film City S.O,Stn Kachiguda H.O,NA,NA
Begumbazar S.O,500012,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463813,NA,Hyderabad Jubilee H.O,NA,NA
Boduppal S.O,500092,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Ghatkesar,Hyderabad,TELANGANA,NA,NA,Stn Kachiguda H.O,NA,NA
Chaithanyapuri Colony S.O,500060,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-23463692,NA,Stn Kachiguda H.O,NA,NA
Cherlapatel Guda B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Chinnagolkonda B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Shamshabad,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Chintapatla B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Chippalapalli B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Chowderpalli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Crp Camp S.O (Hyderabad),500005,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bandlaguda,Hyderabad,TELANGANA,040-23463830,NA,Hyderabad Jubilee H.O,NA,NA
Dabbedguda B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Dandumailaram B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Darushifa S.O,500024,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463831,NA,Hyderabad Jubilee H.O,NA,NA
Dilsukhnagar Colony S.O,500060,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-23463832,NA,Stn Kachiguda H.O,NA,NA
Don Bosco Nagar S.O,500086,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,040-24192122,NA,Hyderabad Jubilee H.O,NA,NA
Eleminedu B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Falaknuma S.O,500053,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-24380001,NA,Hyderabad Jubilee H.O,NA,NA
Fatehdarwaza S.O,500065,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463834,NA,Hyderabad Jubilee H.O,NA,NA
Gaganpahad B.O,500052,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Svpnpa S.O,Hyderabad Jubilee H.O,NA,NA
Gayatri Nagar S.O,500097,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,saroornagar,Hyderabad,TELANGANA,040-24091145,NA,Stn Kachiguda H.O,NA,NA
Gollapalli Kalan B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Gowrelli B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Gsi(Sr) Bandlaguda S.O,500068,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,Hyderabad,TELANGANA,040-23463835,NA,Stn Kachiguda H.O,NA,NA
Gudur B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Gummadavalli B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Gungal B.O,501506,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Hasannagar B.O,500052,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Svpnpa S.O,Hyderabad Jubilee H.O,NA,NA
Hayatnagar S.O,501505,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,040-23463814,NA,Stn Kachiguda H.O,NA,NA
High Court S.O (Hyderabad),500066,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463836,NA,Hyderabad Jubilee H.O,NA,NA
Hindustan Cables Ltd S.O,500051,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,Hyderabad,TELANGANA,040-23463837,NA,Stn Kachiguda H.O,NA,NA
Huda Residential Complex S.O,500035,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-24053161,NA,Stn Kachiguda H.O,NA,NA
Hussainialam S.O,500064,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bahadurpura,Hyderabad,TELANGANA,040-24568933,NA,Hyderabad Jubilee H.O,NA,NA
Hyderabad Jubilee H.O,500002,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463822,NA,NA,NA,NA
Hyderabad Public School S.O,500013,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,040-23463840,NA,Stn Kachiguda H.O,NA,NA
Hyderguda S.O,500048,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,040-24001505,NA,Hyderabad Jubilee H.O,NA,NA
I.E.Nacharam S.O,500076,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,Hyderabad,TELANGANA,040-23463841,NA,Stn Kachiguda H.O,NA,NA
Ibrahimpatnam S.O (K.V.Rangareddy),501506,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Ibrahimpatnam,K.V.Rangareddy,TELANGANA,08414-222022,NA,Stn Kachiguda H.O,NA,NA
Jaitwaram B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Japal B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
